Date Created,Number of Likes,Source of Tweet,Tweet,Year
2022-09-13,194,Twitter Web App,    I don t hate this look   Emmys  ,2022
2022-09-13,1286,Twitter Web App,To the players of    Kudos on your nominations  Next season I m entering my brother  Pugsley  He ll probab   ,2022
2022-09-12,267,Twitter Web App,       _things       ,2022
2022-09-12,952,Twitter Web App,The faceless suits at   have asked me to  congratulate  tonight s  Emmys nominees  I warned them ,2022
2022-09-12,87637,Twitter Media Studio,A word of advice for tonight s  Emmys nominees   ,2022
2022-08-17,1282,Twitter Web App, Interesting  is one way to put it  Others  deranged  twisted and full of dark turns   like when the carousel brake   ,2022
2022-08-17,1394,Twitter Web App,Release date  No idea  I swear on Pugley s grave  which I ve freshly dug   ,2022
2022-08-17,99301,Twitter Media Studio,This teaser is full of my favorite things   mystery  mayhem and murder   ,2022
2022-08-16,78,Twitter Web App, _gal Fair point  Respect ,2022
2022-08-16,7846,Twitter Web App,Shortly after this photo was taken I tested my antique limb stretcher on Pugsley  Little to no growth so far   ,2022
2022-06-16,59,Twitter Web App,  On behalf of Netflix and Netflix only  thanks ,2022
2022-06-16,3938,Twitter Web App,Help me understand   ,2022
2022-06-06,2809,Twitter Web App,It seems I am trending  While I have your attention   anyone have a guillotine I can borrow this weekend ,2022
2022-06-06,947,Twitter Web App,My lips are sealed  Thing did a surprisingly adequate job with the needle and thread   ,2022
2022-06-06,650,Twitter Web App,I ve sent Thing to fetch the smelling salts   ,2022
2022-06-06,892,Twitter Web App,I love the smell of hostility in the morning   ,2022
2022-06-06,1109,Twitter Web App,Your wait will be quite painful  I envy you   ,2022
2022-06-06,30761,Twitter Media Studio,Family life is killing me  Time to lose the dead weight   ,2022
2022-06-01,1033,Twitter Web App,Your compliments make me nauseous  and not in a good way   ,2022
2022-06-01,995,Twitter Web App,You should try apathy sometime  It s freeing   ,2022
2022-06-01,855,Twitter Web App,Whenever I need to relax  I simply spend a few hours at the county morgue  You should try it   ,2022
2022-06-01,656,Twitter Web App,I see what you did there   ,2022
2022-06-01,1001,Twitter Web App,I would feel gratitude but I m dead inside   ,2022
2022-06-01,6698,Twitter Media Studio,Enjoy this marketing ploy   ,2022
2022-06-01,4399,Twitter Web App,I ve started this account as an experiment in sadism  Thing tells me Twitter is the most effective place to feel pa   ,2022
